name,team_name,league,registered_position,age,speed,acceleration,dribbling,ball_control,low_pass,finishing,defensive_awareness,physical_contact,stamina,kicking_power,heading,tight_possession
R. TAPIA,VIGO AB,Spanish League,CMF,25,71,72,75,74,73,65,74,79,78,73,75,77
A. PRITCHARD,HUDDERSFIELD BW,English 2nd Division,AMF,27,73,78,78,75,75,69,53,60,77,76,63,78
L. CHRISTENSEN,BRØNDBY,3F Superliga,CMF,26,78,77,68,74,77,71,67,66,80,74,65,73
IURI MEDEIROS,SPORTING BRAGA,Liga NOS,RWF,26,83,86,80,76,66,68,46,60,78,75,60,66
M. ZEEGELAAR,UDINESE,Serie A TIM,LB,30,86,82,73,71,69,56,69,80,78,74,71,65
B. MENSAH,BEŞİKTAŞ,Süper Lig,AMF,26,77,82,79,76,76,67,53,70,72,81,60,75
J. RODRIGUEZ,BANFIELD,Liga Profesional de Fútbol,DMF,25,72,70,66,75,72,64,73,82,78,82,77,68
TIAGO PAGNUSSAT,CEARÁ,BRASILEIRÃO ASSAÍ 2020,CB,30,69,64,66,67,65,56,76,84,73,77,80,69
A. LEYA,TOULOUSE,Ligue 2 BKT,CF,23,82,83,74,73,68,74,48,78,74,75,73,72
D. LUCKASSEN,ANDERLECHT,Jupiler Pro League,CB,25,79,77,68,65,71,60,74,81,76,76,75,66
T. LAWRENCE,DERBY WB,English 2nd Division,LWF,26,77,79,77,73,71,71,51,63,78,78,64,71
MARCELINHO,Free Agents,Free Agent,AMF,36,70,77,74,79,75,75,59,62,73,75,69,77
A. CADAVID,INDEPENDIENTE MEDELLÍN,Liga BetPlay DIMAYOR,CB,35,70,67,69,66,70,60,81,86,73,82,81,65
J. CARRASCAL,RIVER PLATE,Liga Profesional de Fútbol,AMF,22,78,84,84,81,72,68,50,63,73,80,60,84
B. KAMARA,STRASBOURG,Ligue 1 Uber Eats,GK,24,63,61,54,56,61,42,51,81,63,78,70,52
H. BELKEBLA,BREST,Ligue 1 Uber Eats,CMF,26,74,75,75,76,76,58,70,67,84,68,62,72
F. RICCA,CLUB BRUGGE,Jupiler Pro League,LB,26,76,75,65,70,68,63,73,72,79,70,70,67
W. BOU,BOCA JUNIORS,Liga Profesional de Fútbol,CF,27,75,74,73,75,68,75,50,78,80,78,71,72
L. CONTÍN,GIMNASIA LA PLATA,Liga Profesional de Fútbol,CF,25,75,72,74,70,69,76,58,81,78,86,80,68
V. VADA,ALMERÍA RB,Spanish 2nd Division,CMF,24,70,62,75,80,80,70,50,70,75,71,60,72
K. RODRIGUES,VASCO GIPUZKOA AB,Spanish League,LB,26,76,80,73,76,73,62,67,65,78,71,65,65
LÉO JARDIM,BOAVISTA,Liga NOS,GK,25,60,62,48,51,62,42,51,80,63,79,60,53
HYORAN,ATLÉTICO MINEIRO,BRASILEIRÃO ASSAÍ 2020,AMF,27,85,84,78,75,75,70,46,63,77,79,63,76
J. QUINTERO,FORTALEZA,BRASILEIRÃO ASSAÍ 2020,CB,25,78,76,59,67,68,59,81,84,74,75,78,65
M. DE LOS SANTOS,MILLONARIOS,Liga BetPlay DIMAYOR,CB,28,67,66,63,67,72,62,77,88,72,88,76,66
B. VALDEZ,Free Agents,Free Agent,CB,28,75,72,61,69,70,53,79,81,77,66,79,58
J. CÁDIZ,BENFICA,Liga NOS,CF,25,77,75,75,74,68,75,46,83,80,79,78,70
B. KUSCEVIC,UNIVERSIDAD CATÓLICA,Campeonato PlanVital,CB,24,70,70,62,65,70,55,82,80,80,75,78,58
D. SOLANKE,BOURNEMOUTH RB,English 2nd Division,CF,23,77,80,75,78,73,69,52,73,72,73,72,75
K. ADAMS,Free Agents,Free Agent,CB,25,73,70,69,68,71,53,76,86,77,73,76,65
S. LUPERTO,NAPOLI,Serie A TIM,CB,24,73,70,63,70,69,57,79,80,76,71,77,67
K. GRANT,HUDDERSFIELD BW,English 2nd Division,CF,23,86,87,73,68,67,76,47,67,78,76,68,72
M. COCO,NANTES,Ligue 1 Uber Eats,RWF,24,84,85,79,76,72,69,50,75,74,73,65,78
G. BIJL,EMMEN,Eredivisie,RB,25,72,70,72,70,74,62,76,72,80,72,73,67
H. TER AVEST,UDINESE,Serie A TIM,RB,23,74,73,68,70,68,58,77,76,75,70,76,64
IVO RODRIGUES,ANTWERP,Jupiler Pro League,LWF,25,81,83,76,77,70,70,49,62,74,79,60,75
OSAMA RASHID,SANTA CLARA,Liga NOS,CMF,28,70,70,73,76,72,71,70,69,81,83,67,72
S. POPOV,Free Agents,Free Agent,RB,30,72,70,70,75,78,51,65,70,82,73,73,76
D. DIBUSZ,Free Agents,Free Agent,GK,30,62,62,44,50,56,40,67,80,66,74,65,45
F. GULBRANDSEN,İSTANBUL BAŞAKŞEHİR,Süper Lig,LWF,28,88,91,79,74,61,70,54,73,78,75,62,70
J. URONEN,GENK,Jupiler Pro League,LB,26,74,77,65,71,72,62,74,70,82,81,65,70
B. MANSILLA,FARENSE,Liga NOS,LWF,23,83,80,81,78,68,70,53,72,73,78,67,81
A. BATALLA,O'HIGGINS,Campeonato PlanVital,GK,24,70,70,50,55,60,45,60,80,68,75,60,55
J. LASO,ROSARIO CENTRAL,Liga Profesional de Fútbol,CB,30,75,72,64,67,72,56,73,84,78,73,74,62
E. BRÍTEZ,ROSARIO CENTRAL,Liga Profesional de Fútbol,LB,28,78,72,68,69,64,62,69,80,81,75,73,62
L. GAMBA,ROSARIO CENTRAL,Liga Profesional de Fútbol,CF,33,80,82,73,75,74,73,50,68,72,75,71,73
M. ROMERO,PSV,Eredivisie,CF,21,83,78,72,75,66,76,45,79,72,82,73,70
L. GODOY,TALLERES DE CÓRDOBA,Liga Profesional de Fútbol,RB,25,83,81,76,75,70,63,65,64,82,69,70,62
J. TORRES,NEWELL'S OLD BOYS,Liga Profesional de Fútbol,RWF,23,77,86,80,79,69,70,56,63,73,78,52,85
M. RANGEL,JUNIOR,Liga BetPlay DIMAYOR,CF,29,73,71,68,70,62,79,45,80,77,81,78,67
B. PERLAZA,ATLÉTICO NACIONAL,Liga BetPlay DIMAYOR,DMF,28,66,68,72,72,75,66,71,85,84,76,73,67
L. AYLING,LEEDS W,English League,RB,29,75,72,70,67,72,59,73,68,81,68,72,65
A. FLINT,CARDIFF B,English 2nd Division,CB,31,63,58,60,68,64,62,77,88,76,78,84,62
JEAN,ATLÉTICO GO,BRASILEIRÃO ASSAÍ 2020,GK,25,65,65,66,64,65,46,72,82,62,75,69,56
THIAGO GALHARDO,INTERNACIONAL,BRASILEIRÃO ASSAÍ 2020,RMF,31,77,77,81,80,76,76,58,69,76,72,63,79
BERNARDO,BRIGHTON WB,English League,LB,25,78,76,71,71,71,55,67,70,79,74,71,70
VAN DER BRUGGEN,KORTRIJK,Jupiler Pro League,CMF,27,68,65,73,77,78,63,70,68,83,78,62,71
J. LAGO,MALLORCA RN,Spanish League,LMF,30,85,84,78,72,67,72,50,70,77,77,64,70
O. ROSHI,AKHMAT GROZNY,Tinkoff Russian Premier Liga,RWF,29,88,78,78,74,70,65,51,77,75,77,71,71
C. RAMÍREZ,RIONEGRO,Liga BetPlay DIMAYOR,CB,32,77,73,65,67,70,64,75,78,79,76,79,68
O. HADDADI,KASIMPAŞA,Süper Lig,LB,28,79,73,64,66,70,60,71,79,82,76,70,61
A. SHVETS,AKHMAT GROZNY,Tinkoff Russian Premier Liga,DMF,27,76,69,69,72,76,60,73,79,81,75,80,64
M. MITROVIĆ,CLUB BRUGGE,Jupiler Pro League,CB,27,72,71,67,65,74,58,78,83,74,73,79,64
A. DONIS,STADE DE REIMS,Ligue 1 Uber Eats,CF,24,85,91,77,75,70,74,53,68,76,75,67,71
A. AJETI,CELTIC,Scottish Premiership,CF,23,80,77,72,72,65,76,50,78,78,76,77,71
FÁBIO ABREU,MOREIRENSE,Liga NOS,CF,27,81,77,73,70,64,75,48,74,75,77,84,70
B. ACOSTA,Free Agents,Free Agent,CMF,27,77,75,69,75,74,65,68,75,80,80,65,70
KAIO PANTALEÃO,KRASNODAR,Tinkoff Russian Premier Liga,DMF,25,71,66,71,71,75,60,73,78,78,79,79,69
M. GRIMES,SWANSEA W,English 2nd Division,CMF,25,72,69,72,76,78,61,59,66,82,76,63,74
K. TSIMIKAS,LIVERPOOL R,English League,LB,24,84,85,71,68,70,54,69,75,80,71,60,66
ANDRÉ HORTA,SPORTING BRAGA,Liga NOS,CMF,24,70,72,76,75,80,63,66,60,73,83,60,82
B. RAMSELAAR,UTRECHT,Eredivisie,AMF,24,79,81,81,75,77,66,59,63,76,70,62,76
O. GOVEA,ZULTE-WAREGEM,Jupiler Pro League,DMF,24,71,73,70,75,74,58,70,62,75,78,63,70
M. PITTÓN,VÉLEZ SARSFIELD,Liga Profesional de Fútbol,DMF,26,78,76,77,79,74,65,67,67,82,78,66,74
A. BARBOZA,INDEPENDIENTE,Liga Profesional de Fútbol,CB,25,65,63,68,71,72,60,73,86,74,79,80,70
F. LUNA,PATRONATO,Liga Profesional de Fútbol,AMF,30,74,79,83,82,73,68,50,63,70,80,60,76
L. RODRÍGUEZ,ESTUDIANTES,Liga Profesional de Fútbol,LWF,23,80,82,80,75,75,67,55,63,75,75,60,72
IVAN,PONTE PRETA,BRASILEIRÃO SÉRIE B 2020,GK,23,60,59,60,59,58,41,65,78,61,68,70,48
SANDER,SPORT RECIFE,BRASILEIRÃO ASSAÍ 2020,LB,30,80,81,73,71,70,61,69,70,74,69,60,70
B. DECORDOVA-REID,FULHAM W,English League,AMF,27,80,86,76,71,73,75,58,65,80,72,68,73
NUNO SANTOS,RIO AVE,Liga NOS,RWF,25,82,89,81,78,73,61,42,60,70,81,60,75
PABLO MAFFEO,Free Agents,Free Agent,RB,23,82,84,77,75,71,53,73,66,73,66,71,64
K. DERMAKU,PARMA,Serie A TIM,CB,28,70,66,64,67,67,57,77,85,77,76,77,65
K. WILCZEK,KØBENHAVN,3F Superliga,CF,32,64,67,65,73,66,79,55,84,74,81,76,70
S. CLUCAS,STOKE RW,English 2nd Division,CMF,30,76,76,75,70,72,73,60,68,85,81,67,73
POL LLONCH,WILLEM II,Eredivisie,CMF,28,73,72,71,73,75,63,77,69,82,73,64,74
JOÃO NOVAIS,SPORTING BRAGA,Liga NOS,CMF,27,70,72,78,76,78,65,53,70,78,85,62,75
TIAGO SÁ,SPORTING BRAGA,Liga NOS,GK,25,59,58,60,58,58,40,65,79,66,67,60,50
E. KRAFTH,NEWCASTLE WB,English League,RB,26,79,74,70,72,70,56,74,70,77,70,60,73
A. DEIOLA,CAGLIARI,Serie A TIM,CMF,25,78,77,77,74,73,65,68,77,78,78,69,75
A. SZYMANOWSKI,LEGANÉS AB,Spanish League,LWF,32,80,83,79,78,74,73,53,63,74,72,66,72
D. GARCÍA,ESTUDIANTES,Liga Profesional de Fútbol,LMF,24,80,90,81,74,72,68,54,64,74,71,58,74
CLAUDINHO,RED BULL BRAGANTINO,BRASILEIRÃO ASSAÍ 2020,RWF,23,76,80,81,80,75,71,50,62,75,67,61,81
M. SARRAFIORE,INTERNACIONAL,BRASILEIRÃO ASSAÍ 2020,AMF,23,71,73,80,80,77,71,56,65,73,75,60,76
F. KROVINOVIĆ,BENFICA,Liga NOS,CMF,25,77,78,77,79,78,65,57,60,76,80,60,76
MATEUS VITAL,CORINTHIANS,BRASILEIRÃO ASSAÍ 2020,AMF,22,75,78,80,79,75,70,54,62,71,73,60,81
A. TUANZEBE,MANCHESTER UNITED,English League,CB,23,78,75,65,66,68,45,81,78,75,62,75,62
A. SOTO,RACING CLUB,Liga Profesional de Fútbol,LB,27,81,80,79,77,70,63,63,62,80,73,65,72
J. MAKENGO,NICE,Ligue 1 Uber Eats,CMF,22,76,77,77,76,75,61,67,71,76,78,68,75
R. PIERRE-GABRIEL,BREST,Ligue 1 Uber Eats,RB,22,81,80,72,70,71,52,70,74,76,68,69,73
JOAQUÍN,VALLADOLID MB,Spanish League,CB,24,77,76,63,72,70,59,77,79,76,69,80,64
P. HATZIDIAKOS,AZ,Eredivisie,CB,23,72,71,61,67,70,64,75,77,75,77,75,68
M. VAN BERGEN,HEERENVEEN,Eredivisie,RWF,21,82,84,77,74,72,71,56,65,73,72,61,78
B. SIGURÐARSON,Free Agents,Free Agent,CF,29,82,77,72,70,68,73,51,83,83,75,80,63
A. GOJAK,DINAMO ZAGREB,Other European Leagues,AMF,23,78,73,76,79,77,67,55,74,76,81,78,75
GABRIEL,ATLÉTICO MINEIRO,BRASILEIRÃO ASSAÍ 2020,CB,25,79,77,62,61,67,57,81,78,76,77,75,58
O. KRAGL,BENEVENTO,Serie BKT,LMF,30,81,75,75,73,70,73,61,80,79,91,68,70
TONI LATO,VALENCIA BN,Spanish League,LB,23,77,77,77,76,70,65,72,66,74,65,65,68
C. LUCCHETTI,ATLÉTICO TUCUMÁN,Liga Profesional de Fútbol,GK,42,64,70,58,63,66,60,59,74,60,83,60,46
G. ACOSTA,ATLÉTICO TUCUMÁN,Liga Profesional de Fútbol,RMF,32,75,73,73,75,76,67,65,82,84,83,75,68
B. PEARSON,PRESTON WB,English 2nd Division,DMF,25,72,74,69,70,74,59,76,76,81,69,67,66
G. CARABAJAL,UNIÓN,Liga Profesional de Fútbol,AMF,29,73,75,80,76,77,70,50,65,77,80,61,80
C. TARRAGONA,VÉLEZ SARSFIELD,Liga Profesional de Fútbol,CF,29,76,80,76,74,66,78,51,77,80,76,68,71
A. BOUZAT,VÉLEZ SARSFIELD,Liga Profesional de Fútbol,RWF,26,80,83,78,78,73,67,52,63,82,70,62,73
F. DEPAOLI,SAMPDORIA,Serie A TIM,RB,23,78,76,73,74,71,61,71,66,76,73,64,71
DANIEL,BAHIA,BRASILEIRÃO ASSAÍ 2020,CMF,24,75,78,75,78,81,66,50,61,74,68,60,80
D. ZABALA,ROSARIO CENTRAL,Liga Profesional de Fútbol,RMF,29,75,79,75,74,73,73,55,76,82,80,64,73
D. BATALLINI,ARGENTINOS JUNIORS,Liga Profesional de Fútbol,RWF,24,81,81,79,76,71,69,58,68,79,77,62,72
MARCINHO,BOTAFOGO,BRASILEIRÃO ASSAÍ 2020,RB,24,79,82,73,73,77,60,65,70,80,76,60,69
LUIZ FELIPE,SANTOS,BRASILEIRÃO ASSAÍ 2020,CB,27,74,71,66,65,68,50,80,79,74,72,78,62
F. TROYANSKY,UNIÓN,Liga Profesional de Fútbol,CF,23,81,79,72,72,71,75,51,78,78,82,73,70
V. JOVANOVIĆ,BORDEAUX,Ligue 1 Uber Eats,CB,24,73,70,69,71,71,55,78,81,75,64,79,64
T. FOSU-MENSAH,MANCHESTER UNITED,English League,RB,22,87,80,73,66,72,54,70,77,75,73,71,66
LÉO DUARTE,MILANO RN,Serie A TIM,CB,24,75,76,70,73,75,58,76,80,75,70,73,72
CLEITON,RED BULL BRAGANTINO,BRASILEIRÃO ASSAÍ 2020,GK,23,59,58,60,60,63,40,63,78,67,72,60,48
D. VLAHOVIĆ,FIORENTINA,Serie A TIM,CF,20,73,70,74,73,69,76,51,83,74,80,77,71
K. REZAEI,SPORTING CHARLEROI,Jupiler Pro League,CF,28,75,71,65,70,65,81,50,80,76,79,82,69
A. BEGHETTO,FROSINONE,Serie BKT,LMF,26,83,82,74,72,70,64,67,73,81,69,61,67
O. KARAVAEV,DYNAMO KYIV,Other European Leagues,RB,28,80,84,73,77,75,64,61,60,83,70,60,75
M. ZAJC,FENERBAHÇE,Süper Lig,AMF,26,77,80,78,79,78,68,51,64,74,73,60,77
S. INGASON,PAOK,Other European Leagues,CB,27,65,70,62,67,69,58,77,82,73,71,78,65
A. TRAUSTASON,Free Agents,Free Agent,LMF,27,76,77,78,73,74,72,58,65,86,78,68,70
R. MATARRITA,Free Agents,Free Agent,LB,26,84,85,73,70,68,61,65,66,80,72,62,66
M. VRANČIĆ,NORWICH YG,English 2nd Division,CMF,31,73,75,74,75,76,66,64,77,81,80,71,71
J. WORRALL,NOTTINGHAM RW,English 2nd Division,CB,23,70,72,63,70,73,56,81,75,79,81,79,61
N. FERNÁNDEZ,SAN LORENZO,Liga Profesional de Fútbol,CF,24,76,85,78,72,69,74,51,62,76,72,74,71
F. CASSATA,GENOA,Serie A TIM,CMF,23,80,79,74,78,76,64,62,70,82,73,65,76
RONALDO VIEIRA,SAMPDORIA,Serie A TIM,CMF,22,77,76,71,73,75,62,72,77,80,72,68,74
MARCELO BENEVENUTO,BOTAFOGO,BRASILEIRÃO ASSAÍ 2020,CB,24,76,78,65,64,65,51,80,82,78,71,75,60
D. COOLS,MIDTJYLLAND,3F Superliga,RMF,24,81,76,72,72,72,58,69,73,85,77,69,64
N. MORO,DINAMO MOSKVA,Tinkoff Russian Premier Liga,DMF,22,77,73,73,80,78,62,56,70,79,76,66,77
C. ZIMMERMANN,NORWICH YG,English 2nd Division,CB,27,66,60,62,66,74,52,77,84,78,76,80,68
RODRIGÃO,CEARÁ,BRASILEIRÃO ASSAÍ 2020,CF,27,74,70,70,71,64,74,56,85,70,80,80,66
J. MENÉNDEZ,INDEPENDIENTE,Liga Profesional de Fútbol,LWF,26,82,86,79,74,74,74,44,60,76,76,55,79
Y. WISSA,LORIENT,Ligue 1 Uber Eats,LMF,24,84,86,77,74,67,75,46,68,73,75,72,72
D. LAMKEL ZE,ANTWERP,Jupiler Pro League,LWF,24,88,78,74,75,68,70,50,74,79,78,72,68
C. SCHINDLER,HUDDERSFIELD BW,English 2nd Division,CB,30,72,68,65,70,72,57,80,79,79,69,77,66
M. DI GREGORIO,Free Agents,Free Agent,GK,23,66,65,51,56,56,40,52,79,58,76,62,49
I. GÓMEZ,ESTUDIANTES,Liga Profesional de Fútbol,DMF,23,78,75,75,72,79,63,68,65,84,70,64,75
S. COSGROVE,ABERDEEN,Scottish Premiership,CF,24,72,74,67,69,66,76,52,82,68,75,83,74
J. BELLEGARDE,STRASBOURG,Ligue 1 Uber Eats,CMF,22,74,76,76,77,75,60,68,72,77,68,65,79
M. CHOUIAR,DIJON,Ligue 1 Uber Eats,LWF,21,78,80,78,77,73,71,50,69,75,70,62,79
B. WHITE,BRIGHTON WB,English League,CB,23,75,70,67,74,70,56,77,73,75,76,75,70
S. MEMIŠEVIĆ,Free Agents,Free Agent,CB,27,70,66,63,70,68,55,74,84,78,75,75,63
F. JENSEN,Free Agents,Free Agent,AMF,23,76,79,76,75,71,77,50,78,77,79,65,77
MANU MORLANES,VILLARREAL A,Spanish League,CMF,21,77,81,70,80,83,62,62,61,68,71,63,77
ALEJANDRO POZO,SEVILLA NERVIÓN BR,Spanish League,RMF,21,80,85,77,77,71,67,63,62,76,72,61,75
A. NORDIN,SAINT-ÉTIENNE,Ligue 1 Uber Eats,LWF,22,86,85,76,72,66,69,51,68,77,77,65,71
K. KUCHAEV,CSKA MOSKVA,Tinkoff Russian Premier Liga,LMF,22,81,77,79,77,77,63,65,67,79,75,63,73
BRAHIM DÍAZ,MILANO RN,Serie A TIM,AMF,21,79,83,82,80,76,68,52,62,74,77,60,81
J. MAJA,BORDEAUX,Ligue 1 Uber Eats,CF,22,78,77,75,74,72,76,50,73,74,74,72,69
LIZIERO,SÃO PAULO,BRASILEIRÃO ASSAÍ 2020,DMF,22,70,71,72,77,76,68,70,65,75,67,60,70
M. PAES,UTRECHT,Eredivisie,GK,22,63,65,58,63,64,42,66,75,64,74,70,51
C. EITING,AJAX,Eredivisie,DMF,22,68,66,72,77,77,65,65,69,74,74,64,76
F. MEDINA,RC LENS,Ligue 1 Uber Eats,LB,21,77,75,75,73,76,62,66,78,81,71,72,69
CARDONA,PAMPLONA RA,Spanish League,CF,25,78,79,76,75,68,75,54,75,75,77,72,70
R. PERRAUD,BREST,Ligue 1 Uber Eats,LB,23,76,78,71,73,72,59,66,66,80,80,63,75
YURI RIBEIRO,NOTTINGHAM RW,English 2nd Division,LB,23,78,78,71,74,76,61,68,65,77,76,70,70
E. HORVATH,CLUB BRUGGE,Jupiler Pro League,GK,25,59,58,48,52,51,40,57,79,59,80,70,50
DAVIDSON,ALANYASPOR,Süper Lig,LWF,29,82,80,80,75,70,70,50,61,85,85,60,70
M. GIBBS-WHITE,SWANSEA W,English 2nd Division,CMF,20,75,77,76,77,77,65,60,66,76,71,63,78
W. FAES,STADE DE REIMS,Ligue 1 Uber Eats,CB,22,72,70,62,68,72,50,81,83,73,71,79,67
F. OTERO,AMIENS,Ligue 2 BKT,RWF,25,84,85,72,71,67,73,51,77,77,79,68,77
N. MUBELE,TOULOUSE,Ligue 2 BKT,CF,26,83,81,71,72,70,74,58,73,77,75,74,67
B. SRARFI,ZULTE-WAREGEM,Jupiler Pro League,RWF,23,80,82,80,79,71,70,45,65,75,73,63,80
T. GUIDARA,VÉLEZ SARSFIELD,Liga Profesional de Fútbol,RB,24,83,81,72,73,69,61,65,70,83,70,62,70
JANDREI,ATHLETICO PARANAENSE,BRASILEIRÃO ASSAÍ 2020,GK,27,66,72,66,65,66,42,68,75,63,73,69,60
C. DESSERS,GENK,Jupiler Pro League,CF,26,80,76,72,74,67,76,55,77,76,75,70,71
G. STREFEZZA,SPAL,Serie A TIM,RMF,23,81,83,77,74,69,65,63,62,79,73,56,73
BRUNO PACHECO,CEARÁ,BRASILEIRÃO ASSAÍ 2020,LB,29,77,80,71,71,69,60,70,65,76,72,65,68
J. GÓRALSKI,Free Agents,Free Agent,DMF,28,72,76,67,72,75,55,77,79,87,73,68,66
M. BERO,VITESSE,Eredivisie,AMF,25,81,78,75,72,74,74,60,73,82,77,64,73
A. WARDA,Free Agents,Free Agent,LWF,27,82,78,81,75,77,73,52,63,75,71,72,74
C. PATERSON,CARDIFF B,English 2nd Division,CMF,26,76,74,68,70,74,72,69,83,88,73,79,68
M. MAOLIDA,NICE,Ligue 1 Uber Eats,CF,21,85,87,77,74,70,74,48,76,74,75,70,72
R. BREWSTER,LIVERPOOL R,English League,CF,20,82,83,74,70,65,76,50,66,78,76,70,75
G. MELKADZE,AKHMAT GROZNY,Tinkoff Russian Premier Liga,SS,23,83,82,77,75,69,72,50,71,74,75,65,73
J. DUQUE,MILLONARIOS,Liga BetPlay DIMAYOR,DMF,26,74,76,71,71,70,62,71,75,77,77,60,75
C. CUESTA,GENK,Jupiler Pro League,CB,21,75,72,66,69,71,54,79,78,77,76,75,68
L. PHIRI,GUINGAMP,Ligue 2 BKT,DMF,26,74,77,73,74,75,56,71,66,80,70,66,76
L. LERAGER,GENOA,Serie A TIM,CMF,27,73,69,71,74,75,67,69,76,82,73,73,70
DIEGO PITUCA,SANTOS,BRASILEIRÃO ASSAÍ 2020,CMF,28,74,77,75,77,79,70,71,66,75,68,64,74
ALFA SEMEDO,BENFICA,Liga NOS,DMF,23,72,70,69,73,70,63,73,82,80,80,74,67
J. HERNÁNDEZ,GETAFE A,Spanish League,CF,21,84,86,74,70,68,77,56,73,75,72,69,69
DIOGO GONÇALVES,BENFICA,Liga NOS,RWF,23,82,82,76,76,74,66,49,63,72,78,65,72
L. MORALES,GIMNASIA LA PLATA,Liga Profesional de Fútbol,RB,29,75,73,71,70,73,58,68,78,79,77,77,66
JUNIOR MESSIAS,CROTONE,Serie BKT,SS,29,77,80,79,78,73,70,58,71,76,73,63,77
O. ALDERETE,BASEL,Raiffeisen Super League,CB,24,76,70,63,67,68,60,70,82,75,78,78,68
M. CLARK,VITESSE,Eredivisie,LB,24,78,79,73,73,70,64,65,75,76,72,73,70
S. MOUTOUSSAMY,NANTES,Ligue 1 Uber Eats,CMF,24,74,76,71,71,74,65,74,75,85,72,70,73
M. ORTIZ,ATLÉTICO TUCUMÁN,Liga Profesional de Fútbol,CB,26,75,72,64,66,62,59,77,80,76,77,83,61
M. STIEPERMANN,NORWICH YG,English 2nd Division,AMF,29,78,73,74,72,76,70,60,75,82,81,69,73
F. COMAN,Free Agents,Free Agent,LWF,22,83,86,81,75,68,69,51,65,76,73,63,77
ROMARINHO,FORTALEZA,BRASILEIRÃO ASSAÍ 2020,SS,26,78,83,83,76,68,71,47,69,74,75,66,75
L. VERA,LANÚS,Liga Profesional de Fútbol,AMF,23,82,85,80,77,80,67,51,60,79,69,55,77
PÊPÊ RODRIGUES,VITÓRIA GUIMARÃES,Liga NOS,DMF,23,67,67,71,75,80,68,67,67,81,82,60,70
T. DELAINE,METZ,Ligue 1 Uber Eats,LB,28,78,76,70,71,74,51,70,69,75,71,67,73
D. LAINEZ,SEVILLA TRIANA VB,Spanish League,LMF,20,84,82,82,80,73,66,53,56,73,68,50,80
T. BELMONTE,LANÚS,Liga Profesional de Fútbol,CMF,22,77,73,72,77,76,66,67,70,84,76,73,71
LINCOLN,FLAMENGO,BRASILEIRÃO ASSAÍ 2020,CF,20,80,83,78,76,63,73,47,79,68,74,76,73
A. LOKONGA,ANDERLECHT,Jupiler Pro League,DMF,21,76,75,74,76,75,62,67,78,75,69,65,75
N. PÉREZ,MADRID ROSAS RB,Spanish League,CB,20,73,67,60,63,70,57,78,80,76,72,78,58
A. BODART,STANDARD LIÈGE,Jupiler Pro League,GK,22,58,55,50,52,55,40,50,71,58,82,60,52
E. COBBAUT,ANDERLECHT,Jupiler Pro League,LB,23,78,73,66,70,70,58,70,78,82,72,68,68
S. HEFTI,ST. GALLEN,Raiffeisen Super League,RB,23,83,81,65,67,68,56,75,75,82,71,79,62
K. RÜEGG,HELLAS VERONA,Serie A TIM,RB,22,80,85,72,74,75,56,60,77,80,67,64,76
O. KAYA,MECHELEN,Jupiler Pro League,RMF,34,76,80,76,74,78,68,53,63,75,73,51,75
M. RETEGUI,BOCA JUNIORS,Liga Profesional de Fútbol,CF,21,75,71,72,73,69,75,53,84,75,83,78,74
A. GORDON,EVERTON B,English League,LWF,19,88,84,78,74,71,68,52,65,76,70,60,75
S. N'SOKI,NICE,Ligue 1 Uber Eats,LB,21,79,76,68,70,70,58,70,77,78,70,65,69
A. HARROUI,SPARTA ROTTERDAM,Eredivisie,CMF,22,74,76,77,74,74,68,70,72,74,75,68,80
Y. ADLI,BORDEAUX,Ligue 1 Uber Eats,AMF,20,75,77,79,78,77,68,51,69,74,76,61,74
J. OBRIAN,RIONEGRO,Liga BetPlay DIMAYOR,RWF,25,76,79,80,75,76,73,54,71,78,68,63,72
H. ZAPATA,LA EQUIDAD,Liga BetPlay DIMAYOR,RMF,25,84,85,76,77,70,72,43,75,77,76,68,75
D. VERGARA,AMÉRICA DE CALI,Liga BetPlay DIMAYOR,LWF,24,83,84,76,79,69,70,45,69,75,81,62,78
Y. GUZMÁN,ENVIGADO,Liga BetPlay DIMAYOR,AMF,22,79,81,78,79,80,71,44,64,74,75,64,77
F. AMUZU,ANDERLECHT,Jupiler Pro League,LMF,21,86,89,74,76,67,65,50,63,74,73,60,75
GUGA,ATLÉTICO MINEIRO,BRASILEIRÃO ASSAÍ 2020,RB,22,80,83,75,73,72,54,64,62,80,73,63,81
M. DAMSGAARD,SAMPDORIA,Serie A TIM,LWF,20,82,83,77,76,75,78,53,61,70,70,62,81
M. DANIELSSON,Free Agents,Free Agent,CB,31,67,66,61,66,68,57,78,86,77,70,82,65
O. EL KABIR,URAL,Tinkoff Russian Premier Liga,LMF,29,75,78,80,77,73,71,55,63,77,77,64,77
J. ANDERSSON,MIDTJYLLAND,3F Superliga,RB,24,83,79,70,67,66,63,72,71,74,67,70,71
A. JAHOVIĆ,ANTALYASPOR,Süper Lig,CF,33,68,73,73,70,64,80,46,85,70,82,79,68
H. ARSLAN,SİVASSPOR,Süper Lig,CMF,32,65,71,70,75,76,71,62,76,80,81,74,73
H. TÜRKMEN,TRABZONSPOR,Süper Lig,CB,22,78,74,64,67,64,46,85,79,78,70,81,67
J. BALKOVEC,Free Agents,Free Agent,LB,26,80,77,73,71,72,60,66,75,80,76,64,68
ROBSON BAMBU,NICE,Ligue 1 Uber Eats,CB,23,79,80,68,67,71,59,81,77,74,73,76,62
