Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Type,Tot_Benes,Bene_Avg_Age
rachel,rosenbaum,nurse practitioner,19,74
andrea,stailey,nurse practitioner,25,68
lacie,piotrowicz,nurse practitioner,19,68
jennifer,merkley,nurse practitioner,20,75
melanie,pajon,physician assistant,21,74
katherine,zehntner,registered dietitian or nutrition professional,14,74
ryan,o'dell,psychiatry,20,78
alfred,aiyanyor,internal medicine,17,79
brooke,henschel,nurse practitioner,19,69
katherine,murphy,nurse practitioner,31,67
lauren,tripodi,physician assistant,21,75
lauree,thomas,anesthesiology assistant,17,68
colleen,hannon,occupational therapist in private practice,36,70
andrew,yuan,family practice,28,72
cassandra,lewis,physician assistant,22,75
lindsey,nelson,nurse practitioner,19,68
rachel,kessy,certified registered nurse anesthetist (crna),18,71
nancy,truong,physician assistant,29,77
lydia,huck,physical therapist in private practice,28,75
brittany,bowes,physician assistant,21,64
jordan,lavrencik,nurse practitioner,20,72
karissa,jones,physician assistant,24,75
keaton,culberson,anesthesiology assistant,18,71
caitlin,schapers,certified registered nurse anesthetist (crna),24,69
chloe,rosso,physician assistant,26,69
john,westberg,certified registered nurse anesthetist (crna),80,70
jessica,britnell,physician assistant,28,73
jason,richmond,certified registered nurse anesthetist (crna),25,72
megan,bristow,occupational therapist in private practice,38,71
susan,koenig,physical therapist in private practice,16,70
ben,montgomery,obstetrics & gynecology,45,64
michael,dunn,anesthesiology,20,67
neil,pliskin,"psychologist, clinical",22,63
leslie,humphrey,optometry,49,73
julie,strutz,occupational therapist in private practice,29,70
jacob,kotzian,certified registered nurse anesthetist (crna),13,66
hassan,naom,internal medicine,25,67
carl,spinelli,chiropractic,45,70
john,soborowicz,chiropractic,48,65
david,larson,anesthesiology,22,70
jeffrey,berard,chiropractic,41,70
b,jolley,chiropractic,30,73
araceli,yapor,general practice,19,71
elvira,o'brien,obstetrics & gynecology,35,71
melinda,blom,physician assistant,23,72
rodger,lincoln,chiropractic,47,71
nisrine,zahir,obstetrics & gynecology,43,66
michael,podraza,obstetrics & gynecology,38,69
eduardo,montoya,"psychologist, clinical",13,63
jessica,auffant,obstetrics & gynecology,31,71
william,guice,optometry,50,73
thomas,kessinger,chiropractic,38,70
anna,fitzgerald,physical therapist in private practice,22,75
piper,whiteley,physician assistant,24,72
laura,bell,chiropractic,22,72
vinh,mai,family practice,24,75
leslie,simmons,nurse practitioner,44,68
julie,buckman,nurse practitioner,33,64
crystal faith,cajilog,"psychologist, clinical",17,64
susan,kohn,certified registered nurse anesthetist (crna),18,67
jordan,hill,physician assistant,19,74
jennie,jacob,physician assistant,19,77
bryson,whalen,obstetrics & gynecology,22,61
anthony,bradley,anesthesiology,12,77
alysha,davis,physician assistant,31,67
joyce,ronan,certified registered nurse anesthetist (crna),24,68
tiffany,wall,nurse practitioner,35,74
joyce,muruthi,obstetrics & gynecology,31,65
roseanne,burke,nurse practitioner,46,67
meghan,klawonn,physical medicine and rehabilitation,14,71
jennifer,hewlett,endocrinology,24,74
alana,pinsky,obstetrics & gynecology,16,63
derek,notch,neurology,29,68
jara,crear,ophthalmology,21,72
johnnie,lewis,nurse practitioner,23,71
atreyee,basu,pathology,20,64
joel,roberts,nurse practitioner,37,70
mathew,see,nurse practitioner,37,66
tina,nguyen,optometry,31,75
jessica,vogel,occupational therapist in private practice,42,73
candace,johnson,audiologist,46,73
jennifer,smith,optometry,25,71
emma,murugaverl,family practice,36,67
ester,coelho,nurse practitioner,23,65
samantha,anzalone,certified registered nurse anesthetist (crna),19,75
christina,david,nurse practitioner,14,73
alicia,fanucchi,speech language pathologist,19,73
jennifer,schauer,nurse practitioner,39,65
julie,mcnabb,physical therapist in private practice,35,72
steven,pierce,physical therapist in private practice,21,71
jessica,graves,nurse practitioner,27,67
theresa,brown,nurse practitioner,15,76
tamara,fuller-eddins,obstetrics & gynecology,39,62
sage,copeland,otolaryngology,27,76
mark,milano,oral surgery (dentist only),23,73
richard,beck,chiropractic,44,72
eben,rosenthal,otolaryngology,28,71
earl,pollard,anesthesiology,18,69
danette,bowles,internal medicine,17,73
gary,markowitz,ophthalmology,27,73
fernando,otero,obstetrics & gynecology,23,68
aleksandra,zgierska,family practice,18,66
amy,spangler,nurse practitioner,29,71
necole,larue,chiropractic,54,73
alan,artru,anesthesiology,45,70
christine,gisness,nurse practitioner,19,65
mehrdad,ferdowsian,family practice,24,68
scott,fletcher,chiropractic,59,73
david,tierney,optometry,49,73
kara,kaiser,certified registered nurse anesthetist (crna),36,73
alexandra,apkarian,ophthalmology,22,74
michael,fearing,"psychologist, clinical",16,68
mark,juario,physical therapist in private practice,33,72
meredith,cox,obstetrics & gynecology,28,74
viki,lambertus,nurse practitioner,38,68
abigail,brown,nurse practitioner,13,71
michael,ocampo,physician assistant,24,64
megan,gerbes,physician assistant,18,65
elizabeth,thompson,physical therapist in private practice,53,70
erin,birmingham,anesthesiology,26,72
gabriel,edery,chiropractic,24,70
katherine,tumminello,pathology,31,73
elias,ballat,internal medicine,20,73
sarah,low,anesthesiology,30,71
kateri,fitzgerald,nurse practitioner,23,70
emily,donner,emergency medicine,27,67
raechel,devine,nurse practitioner,33,66
jennifer,davis,nurse practitioner,22,68
samantha,spiller,physical therapist in private practice,40,74
natalie,sung,family practice,33,73
lauren,kriz,physical therapist in private practice,23,71
michael,chisum,general surgery,19,75
seth,davis,otolaryngology,16,71
hoang,hua,family practice,23,65
daniel,johnson,physical therapist in private practice,22,70
allison,stevens,nurse practitioner,27,72
sean,dougherty,hospitalist,23,74
josef,stachowicz,chiropractic,41,70
tereza,peercy,nurse practitioner,34,71
laura,giles,physical therapist in private practice,18,74
christine,gana,physician assistant,13,72
deanna,daigrepont,family practice,20,71
gilbert,guajardo,oral surgery (dentist only),24,73
erica,benson,optometry,44,71
yury,gaydar,podiatry,20,74
danielle,bibelhauser,nurse practitioner,20,66
rebecca,spaeth,certified registered nurse anesthetist (crna),12,67
paola,hernandez,nurse practitioner,25,71
leslie,smart,physical therapist in private practice,17,74
tammy,wylie,nurse practitioner,19,78
maggie,king,optometry,33,71
ashley,sapp,nurse practitioner,23,73
aida,el barbary,anesthesiology,21,72
krista,perez,physician assistant,47,65
azita,hamedani,emergency medicine,36,72
jeffrey,snyder,chiropractic,23,71
diana,rice,physician assistant,41,73
lora,hammer,certified registered nurse anesthetist (crna),30,68
donald,cenk,chiropractic,35,70
ranjitkumar,patel,neurology,28,69
joan,gibbs,physical therapist in private practice,40,73
robert,joyce,optometry,39,73
philip,duchamp,anesthesiology,22,72
shirley,aycoth,nurse practitioner,44,70
craig,smith,anesthesiology,44,74
mark,bergeron,chiropractic,30,71
denise,wilson,optometry,45,72
michael,corey,chiropractic,21,71
elizabeth,kempe,nurse practitioner,31,65
ahmad,bayrakdar,gastroenterology,25,69
john,stouffer,internal medicine,31,72
stephen,safka,chiropractic,24,73
nancy,walden,nurse practitioner,36,74
iva,nosi,optometry,33,74
sean,kelly,nurse practitioner,12,72
pradeep,doddamreddy,critical care (intensivists),19,69
rachel,fournogerakis,obstetrics & gynecology,22,64
benjamin,dixon,optometry,41,69
martita,marcano perez,internal medicine,24,70
bobbie,bertram,nurse practitioner,30,75
sara,munger,occupational therapist in private practice,22,77
anna,swenson,anesthesiology,20,64
derly,cuellar,sports medicine,26,69
meische,cox,physical therapist in private practice,15,69
stevie,bennett,obstetrics & gynecology,22,71
adam,el kommos,anesthesiology,26,72
hayley,walker,internal medicine,14,68
lynn,cattanach,occupational therapist in private practice,28,77
grayson,starbuck,physical therapist in private practice,36,77
kyunghwan,an,chiropractic,27,69
mckenzie,seippel,physician assistant,21,74
julia,hutchison,emergency medicine,21,60
edmund,swan,optometry,34,75
jennifer,mason,physical therapist in private practice,26,71
christopher,kraft,obstetrics & gynecology,42,68
sonja,bauer,physical therapist in private practice,33,72
monay,link,nurse practitioner,16,75
kathleen,quinn,obstetrics & gynecology,24,65
lindsay,ostergaard,nurse practitioner,20,74
james,elliott,nurse practitioner,19,73
theodora,pappa,endocrinology,28,69
katherine,peters,nurse practitioner,25,76
jennifer,reynolds,nurse practitioner,25,60
michelle,taylor,nurse practitioner,24,72
cullen,white,general surgery,28,68
jaclyn,mcknight,optometry,21,72
nicole,kraker,nurse practitioner,32,71
hanna,gasper,nurse practitioner,23,70
erin,paisley,nurse practitioner,14,72
george,dowdy,optometry,40,72
rochelle,heathcock,nurse practitioner,26,69
leticia,austin,nurse practitioner,18,71
ruqqiya,mustaqeem,internal medicine,13,78
kaitlyn,mark,physician assistant,21,71
jimmy,luong,physical therapist in private practice,18,74
naila,ashraf,physician assistant,19,65
eileen,hedberg,physical therapist in private practice,23,73
ashlyn,lehr,nurse practitioner,18,67
cooper,cyr,physical therapist in private practice,39,74
johnny,nghiem,physician assistant,19,70
christopher,lombardozzi,emergency medicine,16,80
lee,miller,plastic and reconstructive surgery,26,68
tierany,webb,certified registered nurse anesthetist (crna),29,66
kurt,grathwohl,anesthesiology,17,73
daniela,rand,certified registered nurse anesthetist (crna),22,73
jeff,wiemiller,physical therapist in private practice,50,71
thomas,wardzala,audiologist,29,79
michael,barnes,physical therapist in private practice,22,74
stephen,rapatz-harr,physician assistant,20,75
olusegun,bankole,internal medicine,37,69
jacqueline,scarbrough,optometry,45,75
sherman,stanley,occupational therapist in private practice,33,71
heather,syombathy,certified registered nurse anesthetist (crna),25,73
fabian,de la rosa,physician assistant,20,74
julia,bailey,certified registered nurse anesthetist (crna),18,75
margaret,ishee,certified registered nurse anesthetist (crna),24,70
robert,crawford,cardiology,17,71
teresa,wanczyk,osteopathic manipulative medicine,33,69
inconnu,omic llc,independent diagnostic testing facility (idtf),23,72
alan,stern,chiropractic,16,80
alison,schortgen,audiologist,31,71
deborah,semmel,nurse practitioner,60,69
erin,magaw,physical therapist in private practice,28,75
alicia,dykstra,nurse practitioner,17,66
thirath,chau,family practice,20,71
robert,edwards,chiropractic,46,64
eva,waller,anesthesiology,18,61
cynthia,powell,physician assistant,41,70
sasha,roneker,certified registered nurse anesthetist (crna),21,71
bilgehan,onogul,emergency medicine,23,70
miriam,zylberglait lisigurski,internal medicine,17,73
joy,moverley,physician assistant,20,66
nitin,wadhwa,gynecological oncology,16,65
alaina,dibartolomeo,physician assistant,19,77
inconnu,florida sleep & neuro diagnostic services inc,independent diagnostic testing facility (idtf),20,64
wendy,rineman,physical therapist in private practice,26,73
aviva,regev,anesthesiology,17,69
michelle,marks,nurse practitioner,30,68
katherine,harkess,obstetrics & gynecology,27,66
susan,kemp,physician assistant,16,67
kathryn,klayum,obstetrics & gynecology,29,63
joshua,reed,nurse practitioner,22,75
lisa marie,pinkston,occupational therapist in private practice,23,70
wasef,muzaffar,anesthesiology,36,71
samuel,burton,gastroenterology,15,75
heran,mengesha,internal medicine,22,71
christina,campbell,certified registered nurse anesthetist (crna),38,74
kirsten,almagro,physician assistant,25,75
akinbolaji,akingbola,sleep medicine,16,64
michael,phillips,physical therapist in private practice,31,69
blayne,baker,chiropractic,38,73
heather,west,physician assistant,29,73
meaghan,lincoln,obstetrics & gynecology,36,65
david,ross,general surgery,25,74
kojo,gyasi,certified registered nurse anesthetist (crna),23,73
melissa,morris,nurse practitioner,17,73
rebecca,levy,physician assistant,34,75
michelle,moore,physician assistant,17,70
megan,sullivan,certified registered nurse anesthetist (crna),36,68
brandon,denny,chiropractic,37,71
amanda,rabin,physical therapist in private practice,25,71
shelby,kostal,physician assistant,16,72
muhaimin,manik,physician assistant,18,78
meghan,doyle,nurse practitioner,23,64
taylor,van rossem,certified registered nurse anesthetist (crna),21,71
jenna,swanson,physical therapist in private practice,36,72
phoebe,tabaranza,nurse practitioner,19,71
zana,vulaj,physician assistant,20,78
maureen,keenan,nurse practitioner,20,70
kelly,mccaul,hematology,13,69
ashly,ochsner,chiropractic,18,73
kurt,cagasan,chiropractic,41,70
tracy,novack,physician assistant,19,68
gerald,zuker,chiropractic,44,75
beverly,biller,endocrinology,28,68
glen,strange,anesthesiology,30,73
joseph,pisegna,gastroenterology,20,66
jaime,holder,physician assistant,27,66
david,shapiro,colorectal surgery (proctology),43,72
jeffrey,koenen,optometry,51,72
theresa,lenaghan,nurse practitioner,35,68
cynthia,boes,obstetrics & gynecology,44,73
karen,hilbert,nurse practitioner,43,74
inconnu,visalmary clinical laboratory,clinical laboratory,16,71
courtney,carver,audiologist,43,76
randa,garrana,ophthalmology,15,72
ann,hatfield,obstetrics & gynecology,27,71
tawanna,edgecomb,certified registered nurse anesthetist (crna),13,73
candace,robinson,emergency medicine,23,65
danielle,rose,certified registered nurse anesthetist (crna),33,70
andrew,lefkovits,obstetrics & gynecology,25,67
courtney,gomez,anesthesiology,30,71
amit,gossain,internal medicine,18,66
amanda,holland-yang,emergency medicine,19,71
irim,salik,anesthesiology,19,67
hilary,bartholomew,speech language pathologist,25,73
wieslawa,zimmer,certified registered nurse anesthetist (crna),16,69
joshua,rilette,chiropractic,41,72
john,agtuca,internal medicine,24,71
chelsea,jarvis,chiropractic,26,68
tiffany,gardner,nurse practitioner,36,64
kristen,pepin,obstetrics & gynecology,20,68
jenna,devare,otolaryngology,29,71
sara,miner,anesthesiology,15,65
caleb,minetree,physician assistant,29,72
andrea,neve,nurse practitioner,22,74
michelle,amos,physical therapist in private practice,28,74
damilola,cobb,certified registered nurse anesthetist (crna),20,71
osa,guobadia,family practice,12,75
ahmed,abdelhamid,internal medicine,22,71
alexa,gadomski,nurse practitioner,32,73
danielle,harris,nurse practitioner,16,66
christopher,nester,maxillofacial surgery,15,75
russell,spinazze,maxillofacial surgery,26,77
mark,mohrmann,orthopedic surgery,32,74
jonathan,emery,obstetrics & gynecology,45,74
robert,lesko,optometry,22,73
chesley,snider,physical therapist in private practice,25,71
allison,duncan,obstetrics & gynecology,25,67
christopher,brosnahan,chiropractic,33,76
louis,competiello,gastroenterology,38,75
maxine,dexter,pulmonary disease,19,73
paul,neustedter,physician assistant,19,66
paula,cushner,nurse practitioner,19,67
paul,gibson,physician assistant,49,68
john,harris,dermatology,26,68
teresa,schlesinger,anesthesiology,46,72
mary,suleiman,physician assistant,16,71
diane,thomas,nurse practitioner,56,74
charles,curcuruto,chiropractic,38,72
paul,tassin,chiropractic,27,74
daniel,hall,obstetrics & gynecology,38,67
troy,bjorklund,chiropractic,36,71
neeta,kalappa,physical therapist in private practice,43,71
kenneth,covone,obstetrics & gynecology,26,61
john,green,nurse practitioner,28,74
inconnu,village of surfside beach texas,ambulance service provider,25,75
garrett,luettgen,emergency medicine,23,67
jason,yu,plastic and reconstructive surgery,25,62
susan,jung,nurse practitioner,20,75
inconnu,"flagler diagnostic and sleeping disorder, inc.",independent diagnostic testing facility (idtf),16,71
nicole,vavrina,family practice,41,71
christine,wille,nurse practitioner,36,65
ashley,parlavechio,physician assistant,20,71
scott,hoar,chiropractic,51,71
tomer,barak,internal medicine,16,74
jerry,mcclellan,certified registered nurse anesthetist (crna),17,72
janice,speer,nurse practitioner,39,75
kirthi,srinivasan,physical therapist in private practice,28,74
sayed obaidullah,aseem,gastroenterology,22,69
juliet,gaisey,physical medicine and rehabilitation,25,73
john,mckenna,obstetrics & gynecology,27,69
nauroz,syed,gastroenterology,22,70
nicholas,studer,emergency medicine,22,71
jonathan,hufford,obstetrics & gynecology,42,66
kevin,reyes,psychiatry,15,60
jubie,vinu,nurse practitioner,26,67
amna,khokar,general surgery,20,66
abigail,cutler,obstetrics & gynecology,24,66
dawn,obrien,physician assistant,33,74
sally,tan,dermatology,18,73
celsie,channell,anesthesiology assistant,26,66
jasmine,johnson,nurse practitioner,24,71
janet,mutschler,anesthesiology,31,72
dominique,serio,physician assistant,23,73
bridget,fitzgerald,physician assistant,20,67
shannon,christiansen,chiropractic,26,72
kason,belnap,chiropractic,25,72
archana,yennu,physical therapist in private practice,16,79
crystal,wagner,nurse practitioner,41,68
leah,mcgarrah,nurse practitioner,14,79
mckenzie,crowder,physician assistant,16,72
karen,fortune,obstetrics & gynecology,34,64
wendy,dwyer albano,obstetrics & gynecology,40,71
julie,kirchberger-howard,optometry,26,74
hernando,de soto,anesthesiology,17,74
karen,florian,certified registered nurse anesthetist (crna),15,64
david,debarros,chiropractic,24,72
jeffrey,sikkink,family practice,24,62
james,shoemaker,chiropractic,26,74
paul,bruderer,optometry,26,69
leila,khazaeni,ophthalmology,36,65
thor,svendsen,obstetrics & gynecology,26,71
terry,huff,obstetrics & gynecology,46,70
margaret,golden,physical therapist in private practice,34,76
gordon,calderwood,diagnostic radiology,26,78
stacey,simms,optometry,45,75
nelson,castellano,otolaryngology,32,76
steven,naum,plastic and reconstructive surgery,16,61
lawrence,stern,optometry,31,74
basel,awa,physician assistant,27,73
jennifer,avegno,emergency medicine,20,64
stephen,evangelisti,plastic and reconstructive surgery,31,71
jay,williamson,family practice,31,74
linda,pelland,nurse practitioner,22,72
wendy,womack,chiropractic,49,73
niki,day,certified registered nurse anesthetist (crna),18,69
peter,rodriguez,anesthesiology,21,72
paul,samm,anesthesiology,21,64
toby,green,chiropractic,28,69
donald,myren,chiropractic,47,70
barry,gridley,optometry,23,71
kimberly,arnett,optometry,29,74
edward,barrington,chiropractic,51,71
taylor,reed,physical therapist in private practice,37,75
thomas,dvorak,physician assistant,23,72
carmen,carey,nurse practitioner,24,64
chad,royer,occupational therapist in private practice,52,71
alexis,scaparotti,obstetrics & gynecology,41,70
aboo,mannan,family practice,19,70
kaitnarine,harilal,certified registered nurse anesthetist (crna),25,73
melissa,tubolino,physician assistant,19,65
jonathon,vigil,physician assistant,32,72
rebecca,dutton,occupational therapist in private practice,39,70
channing,wells,optometry,27,73
lisa,an,nurse practitioner,22,73
arnold,morris,family practice,43,71
devan,fitzpatrick,nurse practitioner,19,71
nathan,mclamb,pathology,18,70
john,llewelyn,obstetrics & gynecology,32,68
randolph,tingle,internal medicine,18,72
ovidiu,curtean,physician assistant,33,76
arielle,coopersmith,physical therapist in private practice,29,72
megan,garner,physician assistant,24,72
timothy,jordan,physical therapist in private practice,24,73
celestina,enuma,nurse practitioner,15,64
melissa,bunkers,nurse practitioner,12,73
jordan,bjorklund,certified registered nurse anesthetist (crna),39,71
lauren,cost,chiropractic,27,71
rebekah,johnston,physician assistant,21,66
jordyn,larson,physician assistant,13,69
ida,chen,physician assistant,19,69
jordan,hart,certified registered nurse anesthetist (crna),21,70
jessica,parker,nurse practitioner,18,74
jacob,tenlen,physical therapist in private practice,27,73
amy,wilkinson,nurse practitioner,24,69
bailee,kochevar,occupational therapist in private practice,28,70
lynlee,watkins,audiologist,33,75
marcia,christian,certified registered nurse anesthetist (crna),19,73
kathryn,westby,certified registered nurse anesthetist (crna),31,69
melody,swavely,family practice,22,74
david,tupper,"psychologist, clinical",21,65
deana,kantartzis,emergency medicine,21,66
akuezunkpa,ude welcome,general surgery,19,67
patrick,fleming,optometry,31,72
gary,roach,anesthesiology,17,71
jason,johnson,general surgery,20,72
sean,willoughby,physical therapist in private practice,34,70
kim,chai,chiropractic,25,69
kathleen,fabian,obstetrics & gynecology,38,60
philip,najm,emergency medicine,21,71
jacqueline,buron,nurse practitioner,15,69
anna,nguyen bradstreet,optometry,25,73
ralph,cahoon,licensed clinical social worker,14,61
zev,myerowitz,chiropractic,47,73
john,vanderloo,family practice,26,73
lindsay,stokes,emergency medicine,15,71
anna,peter,emergency medicine,23,70
rachel,palmer,physical therapist in private practice,40,73
la'quandra,rampersant,nurse practitioner,16,74
inconnu,dynamic ambulance services inc,ambulance service provider,18,78
joshua,troia,certified registered nurse anesthetist (crna),27,73
james,omlie,maxillofacial surgery,29,77
maua,swai,nurse practitioner,18,75
sarah,pillemer,"psychologist, clinical",19,78
michelle,baribault,general surgery,24,72
aleshia,beene,nurse practitioner,26,73
aldo,espinoza,nurse practitioner,34,72
max,whiting,physical therapist in private practice,27,72
colby,tyler,physician assistant,31,72
kristyn,wortham,physical therapist in private practice,42,68
dmitriy,kazakov,"psychologist, clinical",20,68
austin,clark,nurse practitioner,14,70
cristian,sandoval,physical therapist in private practice,26,71
victoria,feeback,audiologist,42,74
kerri,woods,nurse practitioner,33,71
sammie,ashley,certified registered nurse anesthetist (crna),12,75
theodore,lazzaro,plastic and reconstructive surgery,32,71
hernan,fuentes figueroa,obstetrics & gynecology,21,64
donald,ables,emergency medicine,20,66
elizabeth,ey,diagnostic radiology,40,62
beth,peterson,occupational therapist in private practice,30,72
michelle,cardenas,physician assistant,15,70
bonita,scavo,physician assistant,15,70
francina,chinodakufa,hospitalist,13,70
sara,diieso,occupational therapist in private practice,51,72
maria,cottrell,allergy/ immunology,15,67
james,alday,certified registered nurse anesthetist (crna),18,73
anne,rolfert,audiologist,27,76
hollye,mcadams,physical therapist in private practice,30,70
joseph,leonetti,oral surgery (dentist only),27,75
gayle,mitchell,internal medicine,18,77
xue,ming,neurology,15,61
suzanne,terry,nurse practitioner,41,67
joseph,dumovic,chiropractic,38,76
james,boone,physician assistant,31,66
kim,duczak,nurse practitioner,24,72
alan,stesin,hospice and palliative care,28,71
kimberly,carlucci,chiropractic,34,73
douglas,azzaro,optometry,32,73
kathryn,callahan,geriatric medicine,21,78
bryan,mcrae,otolaryngology,36,73
heather,dodds,emergency medicine,23,74
aric,dougherty,occupational therapist in private practice,37,71
patrick,brown,internal medicine,26,71
michael,maxwell,audiologist,36,75
garyn,pearson,certified registered nurse anesthetist (crna),18,69
anne,jo-nes,physician assistant,20,71
bryan,umberg,physician assistant,23,63
ari,hoffman,hospitalist,20,81
jenell,stewart,infectious disease,20,65
jonathan,wise,physical therapist in private practice,23,70
craig,hossenlopp,optometry,19,73
liane,mccarroll,speech language pathologist,25,74
amy,cruz,physical therapist in private practice,18,72
jennifer,vernon,nurse practitioner,28,70
quynh nhi,pham,optometry,22,74
matthew,mcnabb,chiropractic,31,72
jacqueline,koshorek,neurology,21,68
neil,patel,optometry,25,72
stephanie,delaney,physician assistant,14,73
marie,dardeno,family practice,29,71
pedro,soibelmann tetelbom,ophthalmology,22,73
sara,balster,occupational therapist in private practice,32,71
melissa,disch,nurse practitioner,15,74
inconnu,advantage mri roseville lp,independent diagnostic testing facility (idtf),44,71
gabrielle,garbade,obstetrics & gynecology,19,67
amanda,porter,physician assistant,15,73
leslie,kendrick,nurse practitioner,49,71
katherine,beckwith,"psychologist, clinical",20,75
stephanie,van horn,"psychologist, clinical",13,69
michael,lee,physical therapist in private practice,22,75
jocelyn,tubbs,audiologist,43,77
erin,deloney,physical therapist in private practice,39,75
kelsey,confreda,physician assistant,22,67
nathan,butler,nurse practitioner,15,67
alexandra,straley,physical therapist in private practice,28,71
lindsay,kenyon,physician assistant,29,77
cody,solar,physical therapist in private practice,19,72
emina,bolt,nurse practitioner,23,74
leif,hoagland,chiropractic,44,74
karen,wiss,dermatology,19,67
brian,robertson,anesthesiology,23,67
brent,mortenson,oral surgery (dentist only),17,72
amed,rawanduzy,neurosurgery,20,69
casey,moauro,obstetrics & gynecology,36,69
stephen,vitkun,anesthesiology,44,72
lori,calavan,physician assistant,17,79
kitefre,oboho,family practice,24,70
ronald,krueger,ophthalmology,30,74
robert,pratt,chiropractic,40,71
michael,rosenblum,dermatology,26,68
joy,fine,nurse practitioner,17,59
miriah,denbo,obstetrics & gynecology,22,64
robert,graham,physician assistant,17,74
george,miller,surgical oncology,18,76
jeanne,dadura,certified nurse midwife,20,59
tiffany,boyd,obstetrics & gynecology,41,68
william,tittle,chiropractic,23,72
michael,debusk,general surgery,22,67
david,tillman,obstetrics & gynecology,18,68
mark,saletnik,chiropractic,18,72
denise,blackbourne,physician assistant,18,75
cheryl,warman,physician assistant,33,71
baber,khatib,maxillofacial surgery,24,71
brendan,ciura,chiropractic,27,69
meredith,luckett,physical therapist in private practice,38,74
aaron,morrow,certified registered nurse anesthetist (crna),18,73
cheryal,tritschler,certified nurse midwife,20,66
abdelmoughite,mouttaki,emergency medicine,22,68
shanon,fronek,physical therapist in private practice,52,74
courtney,sullivan,physical therapist in private practice,41,74
ariana,parker,physician assistant,36,74
jewel,weiher,certified registered nurse anesthetist (crna),30,72
gabriella,danihel,nurse practitioner,25,72
christina,fleming,anesthesiology,21,70
maria,callahan,physician assistant,12,75
wendy,heaton,obstetrics & gynecology,30,67
kaley,kuzma,physician assistant,32,75
jennifer,hunter,nurse practitioner,44,66
chelsea,harris,certified registered nurse anesthetist (crna),17,72
michael,kukulka,nurse practitioner,15,69
alexandra,d'annibale,physical therapist in private practice,32,72
christopher,ogolla,optometry,18,65
jedidiah,meyers,physical therapist in private practice,26,76
ethin,kiekhafer,optometry,46,74
ana beatriz,balades de andrade,certified registered nurse anesthetist (crna),19,74
julian,romero,physical therapist in private practice,20,69
brigette,kasten,nurse practitioner,18,73
stephen,morgan,family practice,20,68
stephen,baksay,physical therapist in private practice,35,74
miriam,kim,neurosurgery,27,72
jay,park,emergency medicine,27,69
laszlo,tamas,neurosurgery,13,79
rudolph,wagner,ophthalmology,34,64
james,kieser,chiropractic,31,73
joseph,hummell,chiropractic,25,73
renata,scott,internal medicine,18,75
chris,muller,chiropractic,30,72
kristi,rupert,nurse practitioner,17,76
nancy,stevens,nurse practitioner,39,65
katharina,modes,anesthesiology,29,70
nicole,atallah,physician assistant,29,73
michael,gagliano,occupational therapist in private practice,23,70
meghan,wilson,otolaryngology,16,72
kourt,chatelain,oral surgery (dentist only),27,72
stephanie,burgos,emergency medicine,15,76
aimee,lestrange,nurse practitioner,20,66
anvesh,reddy,ophthalmology,16,74
philip,tobia,anesthesiology assistant,17,70
mark,kuehn,physician assistant,32,69
caleb,young,physical therapist in private practice,28,69
douglas,benecke,physician assistant,43,63
holly,hanson,physical therapist in private practice,23,73
andrea,gillis,general surgery,35,68
brianne,rockefeller,physician assistant,35,65
aaron,herrera gonzalez,obstetrics & gynecology,31,63
nathan,hieb,general surgery,16,70
elizabeth,berklich,physician assistant,29,64
inconnu,"neurotech, llc",independent diagnostic testing facility (idtf),22,65
maisha,harvey,nurse practitioner,16,66
brian,alexis,family practice,18,71
william,bishop,emergency medicine,17,73
michelle,howe,emergency medicine,14,74
christina,castaneda,nurse practitioner,16,77
guillermo,del campo,optometry,23,72
abdikafar,yusuf,family practice,23,72
elizabeth,bringley,chiropractic,36,67
bindi,patel,optometry,29,73
paige,boulden,physician assistant,27,71
gina,lamm,physician assistant,13,69
mary carleton,johnston,obstetrics & gynecology,17,65
lyle,nolasco,anesthesiology,16,74
maranatha,mclean,anesthesiology,30,70
isidora,luther,nurse practitioner,17,61
matthew,dorsey,physical therapist in private practice,34,74
alexis,santillo,physician assistant,27,69
abigail,ferry,physician assistant,16,68
lei,chen,internal medicine,14,77
kelli,kelley,nurse practitioner,23,73
lordesa,fok,physical therapist in private practice,33,71
katherine,kaelin,nurse practitioner,35,70
jared,genett,physician assistant,24,70
sadie,dejager,physician assistant,23,65
jonathan,burkett,physician assistant,27,74
ross,miner,physician assistant,16,69
sze kei,yeung,optometry,28,71
cassandra,noonan,physical therapist in private practice,35,73
derek,allen,physical therapist in private practice,29,69
amber,dodd,physical therapist in private practice,46,71
shana,jacob,physical therapist in private practice,36,76
amber,hegeman,physical therapist in private practice,26,68
stuart,heimburger,obstetrics & gynecology,50,69
michael,kolodychak,oral surgery (dentist only),20,73
thomas,anderson,certified registered nurse anesthetist (crna),34,70
trista,deluca,chiropractic,24,71
randall,flick,anesthesiology,29,69
mei kin,chow,physician assistant,18,71
matthew,lindemann,obstetrics & gynecology,31,60
david,yu,diagnostic radiology,48,70
sarah,o'toole,nurse practitioner,19,71
katherine,jacobs,ophthalmology,28,76
allyson,grabowski,chiropractic,38,72
lori,failes,emergency medicine,22,70
steven,onorato,optometry,27,76
james,o'neill,maxillofacial surgery,28,74
sarah,luft,physician assistant,52,73
